League #,Winner draft pick #,# Teams in league
6,5,10
9,12,12
31,7,12
33,3,10
39,4,12
48,3,10
52,6,10
55,2,12
57,1,12
59,9,10
67,6,10
68,4,12
71,8,10
76,8,12
77,10,10
89,12,12
90,8,12
98,1,8
99,5,12
101,6,12
104,9,12
108,3,12
116,3,12
117,11,12
118,1,12
119,1,10
122,6,12
126,5,16
127,10,12
128,5,12
129,8,
130,9,12
132,9,10
134,7,12
135,5,12
136,6,10
140,6,12
142,6,16
148,6,10
151,2,12
154,8,8
156,7,12
159,8,
161,2,12
163,6,12
164,5,10
166,3,
167,5,12
171,7,10
173,2,12
174,6,12
175,8,8
177,8,10
178,7,
180,8,12
184,10,14
187,2,10
189,11,14
190,10,10
191,3,10
192,8,10
193,7,12
195,9,10
196,4,10
201,8,10
202,12,12
203,8,10
204,4,12
206,11,12
209,9,14
210,11,12
211,1,10
215,7,8
217,12,12
218,9,10
220,10,
222,9,10
224,11,12
226,10,12
227,5,8
229,9,20
231,11,12
232,4,10
233,8,10
236,7,12
237,5,12
238,2,12
239,2,10
240,9,18
248,6,10
257,5,
258,5,10
260,10,
261,6,12
262,8,10
264,5,12
266,10,10
267,1,12
268,3,10
270,10,12
271,11,14
272,8,
276,8,10
281,3,10
282,4,12
283,3,10
284,6,10
286,8,10
288,7,
289,7,11
291,7,12
292,9,12
293,2,10
296,1,10
299,1,8
300,7,12
301,3,10
303,5,10
305,7,12
308,4,10
309,6,10
310,1,12
311,4,12
312,6,12
313,12,14
315,8,12
319,12,12
320,2,12
322,6,10
328,1,
331,1,
334,4,10
335,5,11
337,5,10
341,2,8
343,12,12
345,11,12
346,5,12
349,5,10
351,7,12
352,12,12
353,3,10
354,2,12
355,3,12
356,10,10
357,9,12
360,2,12
362,1,12
363,5,10
366,4,10
367,12,12
368,6,10
370,11,12
373,4,10
375,4,12
377,9,12
379,1,10
381,6,
385,10,12
386,8,10
388,8,
390,8,8
391,8,12
392,9,12
394,12,12
397,10,10
401,2,12
402,9,14
404,4,10
406,4,12
410,6,12
413,7,12
417,6,
419,5,12
421,16,16
424,10,10
427,10,12
436,4,14
444,4,10
445,2,
446,9,12
447,12,12
450,4,12
451,10,10
453,6,
455,7,10
456,12,12
457,5,
459,6,10
465,2,12
467,5,8
469,12,12
471,2,12
472,4,5
476,5,12
477,4,10
478,11,12
480,2,10
482,9,12
483,3,13
488,4,
494,2,4
495,3,10
498,3,12
501,5,10
502,1,10
503,12,12
505,10,12
506,10,12
508,5,
512,6,10
514,1,12
515,9,12
517,6,10
519,6,18
520,5,10
521,8,14
526,2,8
527,2,10
530,4,10
534,4,
536,1,10
541,2,10
543,2,10
546,7,12
547,4,6
549,3,10
550,6,12
552,10,10
557,10,10
559,12,12
560,2,
564,9,12
568,11,12
569,6,10
572,11,12
573,6,12
574,6,10
577,7,10
578,5,10
579,6,12
580,1,12
581,5,12
582,9,10
583,4,10
584,8,
585,6,12
586,3,
587,10,10
589,2,10
592,4,10
593,1,10
600,7,10
602,1,8
603,1,8
604,2,10
608,7,
609,3,12
610,6,10
611,10,12
614,7,12
615,10,10
619,5,12
621,1,10
622,9,10
627,4,10
629,7,10
631,3,
634,5,10
636,6,12
638,10,10
639,8,
640,9,10
643,7,8
644,2,10
647,4,10
648,10,10
649,2,12
651,6,15
652,8,8
655,4,12
657,3,12
659,3,10
660,5,8
662,2,8
663,8,12
668,7,10
669,12,12
670,7,
671,4,12
672,3,8
678,5,14
689,1,10
692,9,
693,9,12
695,9,12
696,3,
697,5,12
699,2,12
702,10,12
704,4,12
707,2,10
708,4,
709,1,8
710,11,12
711,8,10
712,5,
717,3,10
718,6,10
723,3,
728,7,
729,6,10
733,2,10
734,6,10
736,10,10
737,1,6
739,2,12
740,2,12
741,7,
744,3,
745,1,8
746,10,10
750,10,10
754,3,10
756,5,12
757,1,12
758,5,12
759,1,12
764,6,8
765,15,20
767,11,12
770,9,12
773,3,8
777,9,10
778,2,
779,7,12
783,4,10
788,5,12
791,1,10
792,4,10
793,5,10
797,12,
800,4,10
801,9,10
803,8,10
808,8,12
814,1,10
815,6,10
816,9,12
818,12,12
822,10,14
827,3,10
830,9,12
833,4,
835,8,10
836,2,10
838,6,12
840,9,10
842,2,
844,4,12
845,7,12
849,3,
851,4,12
852,2,12
853,3,12
856,7,10
858,2,12
861,5,10
862,4,
865,5,12
869,5,10
870,8,16
872,3,12
873,12,12
875,6,10
880,7,10
881,3,12
885,6,12
887,6,
888,7,
890,7,
892,5,10
894,4,
895,2,12
897,8,10
898,13,14
899,4,12
900,8,8
902,7,12
903,5,8
907,9,10
909,12,12
